User_Interest,User_Budget,Place_Name,Place_Type,Place_Budget,State,User_Rating
Adventure,Low,Nalanda,Historical,High,Bihar,1.41
Adventure,Medium,Kaziranga,Wildlife,High,Assam,1.41
Adventure,Low,Nainital,Hill Station,High,Uttarakhand,1.41
Hill Station,High,Khajuraho,Historical,Medium,MP,2.0
Adventure,Medium,Rishikesh,Adventure,Medium,Uttarakhand,5.0
City Life,Medium,Gulmarg,Hill Station,High,Kashmir,1.41
Beach,Low,Hyderabad,City Life,Low,Telangana,2.91
Beach,Medium,Gulmarg,Hill Station,Medium,Kashmir,2.9
Historical,High,Gangtok,Hill Station,Medium,Sikkim,2.0
Beach,Medium,Madurai,Religious,High,Tamil Nadu,1.4
Wildlife,Low,Kanha,Wildlife,Low,MP,5.0
Beach,Medium,Khajuraho,Historical,High,MP,1.41
Adventure,Low,Leh,Adventure,Medium,Ladakh,3.5
Hill Station,High,Yadadri,Religious,High,Telangana,2.91
Hill Station,High,Hyderabad,City Life,Low,Telangana,2.0
Wildlife,Low,Leh,Adventure,Medium,Ladakh,1.4
Wildlife,High,Rishikesh,Adventure,Medium,Uttarakhand,2.0
Adventure,Medium,Zulruk,Adventure,High,Sikkim,3.51
Historical,Medium,Tawang,Adventure,High,Arunachal,1.41
City Life,Low,Hyderabad,City Life,High,Telangana,3.51
Wildlife,Medium,Ranthambore,Wildlife,Low,Rajasthan,4.11
Historical,Medium,Shillong,Hill Station,Low,Meghalaya,2.01
Hill Station,Low,Gulmarg,Hill Station,Medium,Kashmir,3.5
Religious,High,Varanasi,Religious,High,UP,5.0
Historical,Low,Nainital,Hill Station,Low,Uttarakhand,2.9
Historical,Medium,Varanasi,Religious,Medium,UP,2.9
Religious,High,Dandeli,Adventure,Medium,Karnataka,2.01
Adventure,Medium,Kolkata,City Life,Low,West Bengal,2.01
Adventure,Medium,Ahmedabad,City Life,High,Gujarat,1.41
City Life,Medium,Bandipur,Wildlife,High,Karnataka,1.41
Beach,High,Bodh Gaya,Religious,Medium,Bihar,2.0
Adventure,Medium,Madurai,Religious,Medium,Tamil Nadu,2.9
Hill Station,Medium,Baga,Beach,Low,Goa,2.01
Beach,High,Mumbai,City Life,High,Maharashtra,2.91
Hill Station,High,Spiti,Adventure,Low,Himachal,2.01
Adventure,Medium,Varkala,Beach,Medium,Kerala,2.9
Adventure,High,Bangalore,City Life,Medium,Karnataka,2.01
Historical,High,Varanasi,Religious,Low,UP,2.0
Hill Station,Low,Radhanagar,Beach,Medium,Andaman,1.41
Religious,Low,Rishikesh,Adventure,Low,Uttarakhand,2.9
Religious,Low,Gulmarg,Hill Station,Low,Kashmir,2.91
Wildlife,Low,Varanasi,Religious,Low,UP,2.9
Religious,Low,Kaziranga,Wildlife,Medium,Assam,1.41
Hill Station,Medium,Radhanagar,Beach,Low,Andaman,2.01
City Life,High,Gulmarg,Hill Station,Medium,Kashmir,2.01
Religious,Medium,Gangtok,Hill Station,Medium,Sikkim,2.91
City Life,Low,Leh,Adventure,Medium,Ladakh,1.4
Historical,Medium,Ajanta,Historical,Medium,Maharashtra,5.0
Adventure,Low,Madurai,Religious,Medium,Tamil Nadu,1.41
Beach,Low,Ooty,Hill Station,Low,Tamil Nadu,2.91
Wildlife,Low,Yadadri,Religious,Low,Telangana,2.91
City Life,Low,Gir,Wildlife,High,Gujarat,1.41
Religious,Medium,Hampi,Historical,Low,Karnataka,2.01
Beach,High,Rishikesh,Adventure,Medium,Uttarakhand,2.0
Beach,Medium,Gulmarg,Hill Station,High,Kashmir,1.41
City Life,Medium,Ajanta,Historical,Medium,Maharashtra,2.91
Historical,High,Jim Corbett,Wildlife,Low,Uttarakhand,2.0
Beach,Medium,Amritsar,Religious,Medium,Punjab,2.91
Historical,Medium,Nalanda,Historical,Low,Bihar,4.1
Religious,Medium,Manali,Hill Station,High,Himachal,1.41
Wildlife,Medium,Bodh Gaya,Religious,High,Bihar,1.4
Hill Station,High,Marina,Beach,Medium,Tamil Nadu,2.0
Hill Station,Medium,Ahmedabad,City Life,Low,Gujarat,2.0
Adventure,Low,Ooty,Hill Station,High,Tamil Nadu,1.4
City Life,Low,Yadadri,Religious,Medium,Telangana,1.41
Hill Station,Low,Gulmarg,Hill Station,Low,Kashmir,5.0
Beach,Low,Hampi,Historical,Low,Karnataka,2.9
Adventure,Low,Manali,Hill Station,Medium,Himachal,1.41
Beach,Medium,Yadadri,Religious,High,Telangana,1.41
Wildlife,High,Kaziranga,Wildlife,Medium,Assam,4.11
Wildlife,Low,Madurai,Religious,High,Tamil Nadu,1.4
Historical,Low,Baga,Beach,Low,Goa,2.91
Adventure,High,Amritsar,Religious,High,Punjab,2.91
City Life,Low,Marina,Beach,High,Tamil Nadu,1.41
City Life,High,Shillong,Hill Station,Low,Meghalaya,2.01
City Life,Low,Kaziranga,Wildlife,Low,Assam,2.9
Religious,Low,Bodh Gaya,Religious,Medium,Bihar,3.51
Hill Station,Medium,Puri,Beach,Medium,Odisha,2.91
Hill Station,Medium,Somnath,Religious,High,Gujarat,1.41
Historical,High,Red Fort,Historical,High,Delhi,5.0
Beach,High,Kanha,Wildlife,Medium,MP,2.0
Religious,Low,Jaipur,Historical,High,Rajasthan,1.4
Wildlife,Low,Gangtok,Hill Station,Medium,Sikkim,1.41
Hill Station,High,Mumbai,City Life,Low,Maharashtra,2.01
Hill Station,High,Gulmarg,Hill Station,Medium,Kashmir,4.11
City Life,High,Somnath,Religious,High,Gujarat,2.9
City Life,Low,Spiti,Adventure,High,Himachal,1.4
Wildlife,High,Kaziranga,Wildlife,High,Assam,5.0
Hill Station,High,Ajanta,Historical,Low,Maharashtra,2.01
Beach,Medium,Alibaug,Beach,Low,Maharashtra,4.1
City Life,Medium,Ajanta,Historical,High,Maharashtra,1.4
City Life,Medium,Puri,Beach,Low,Odisha,2.0
Religious,Low,Spiti,Adventure,Low,Himachal,2.91
Adventure,Medium,Tawang,Adventure,Medium,Arunachal,5.0
Historical,Low,Bandipur,Wildlife,Medium,Karnataka,1.4
City Life,High,Gangtok,Hill Station,High,Sikkim,2.91
Historical,High,Madurai,Religious,High,Tamil Nadu,2.91
Beach,Low,Varkala,Beach,Medium,Kerala,3.51
Beach,Medium,Madurai,Religious,High,Tamil Nadu,1.4
Religious,Medium,Ajanta,Historical,Low,Maharashtra,2.01
Beach,High,Kanha,Wildlife,High,MP,2.91
Adventure,Medium,Khajuraho,Historical,High,MP,1.41
Religious,Low,Hampi,Historical,High,Karnataka,1.41
Historical,Medium,Gulmarg,Hill Station,Medium,Kashmir,2.91
Hill Station,High,Alibaug,Beach,Low,Maharashtra,2.01
City Life,Low,Gangtok,Hill Station,High,Sikkim,1.4
Wildlife,Low,Amritsar,Religious,High,Punjab,1.41
Adventure,Low,Jaipur,Historical,Medium,Rajasthan,1.4
Religious,Medium,Dandeli,Adventure,Medium,Karnataka,2.9
Adventure,High,Marina,Beach,Medium,Tamil Nadu,2.0
Religious,High,Ahmedabad,City Life,Medium,Gujarat,2.01
Wildlife,Low,Ooty,Hill Station,High,Tamil Nadu,1.4
City Life,Low,Spiti,Adventure,Low,Himachal,2.9
City Life,Low,Baga,Beach,Low,Goa,2.91
City Life,Medium,Red Fort,Historical,Medium,Delhi,2.91
Wildlife,High,Varanasi,Religious,High,UP,2.9
Beach,Medium,Alibaug,Beach,High,Maharashtra,3.5
City Life,High,Puri,Beach,Medium,Odisha,2.0
Hill Station,Medium,Zulruk,Adventure,High,Sikkim,1.41
City Life,Medium,Zulruk,Adventure,Medium,Sikkim,2.9
Wildlife,Medium,Radhanagar,Beach,High,Andaman,1.4
Beach,High,Varanasi,Religious,Low,UP,2.0
Religious,Medium,Bangalore,City Life,Low,Karnataka,2.0
City Life,Low,Bodh Gaya,Religious,Low,Bihar,2.9
Religious,Medium,Rishikesh,Adventure,Low,Uttarakhand,2.01
City Life,Low,Ranthambore,Wildlife,Low,Rajasthan,2.9
Wildlife,High,Baga,Beach,Low,Goa,2.0
Historical,High,Ooty,Hill Station,High,Tamil Nadu,2.9
Adventure,High,Radhanagar,Beach,High,Andaman,2.9
Wildlife,Low,Gangtok,Hill Station,Low,Sikkim,2.91
Wildlife,Medium,Kolkata,City Life,Low,West Bengal,2.01
City Life,Medium,Spiti,Adventure,Medium,Himachal,2.91
City Life,Medium,Varanasi,Religious,High,UP,1.41
City Life,High,Dandeli,Adventure,High,Karnataka,2.9
Historical,Medium,Red Fort,Historical,Medium,Delhi,5.0
Historical,High,Bodh Gaya,Religious,Low,Bihar,2.01
Adventure,High,Leh,Adventure,High,Ladakh,5.0
Religious,High,Gulmarg,Hill Station,Low,Kashmir,2.01
City Life,High,Nalanda,Historical,High,Bihar,2.91
City Life,High,Shillong,Hill Station,Low,Meghalaya,2.01
Historical,Medium,Nalanda,Historical,Low,Bihar,4.11
City Life,High,Gangtok,Hill Station,Low,Sikkim,2.01
Historical,Medium,Nalanda,Historical,Medium,Bihar,5.0
Adventure,Medium,Red Fort,Historical,Low,Delhi,2.0
Adventure,High,Tawang,Adventure,Medium,Arunachal,4.11
Religious,High,Jaipur,Historical,Low,Rajasthan,2.0
City Life,Medium,Hampi,Historical,High,Karnataka,1.4
Wildlife,Low,Mumbai,City Life,Medium,Maharashtra,1.41
Historical,Low,Nainital,Hill Station,Low,Uttarakhand,2.9
Historical,Medium,Ooty,Hill Station,Low,Tamil Nadu,2.0
Wildlife,Medium,Gir,Wildlife,High,Gujarat,3.5
Religious,Low,Mumbai,City Life,Low,Maharashtra,2.91
Wildlife,High,Bodh Gaya,Religious,Low,Bihar,2.0
Religious,Medium,Ranthambore,Wildlife,High,Rajasthan,1.4
Historical,Medium,Red Fort,Historical,High,Delhi,3.5
Adventure,Low,Gulmarg,Hill Station,Low,Kashmir,2.91
Hill Station,Medium,Mumbai,City Life,Medium,Maharashtra,2.91
Historical,Low,Alibaug,Beach,Medium,Maharashtra,1.4
Wildlife,Medium,Gir,Wildlife,High,Gujarat,3.5
Historical,High,Yadadri,Religious,Medium,Telangana,2.01
City Life,Low,Somnath,Religious,Medium,Gujarat,1.4
City Life,High,Kolkata,City Life,Medium,West Bengal,4.11
Hill Station,Low,Kaziranga,Wildlife,Medium,Assam,1.4
City Life,High,Jaipur,Historical,Medium,Rajasthan,2.0
Historical,Low,Khajuraho,Historical,Medium,MP,3.51
Historical,High,Alibaug,Beach,Medium,Maharashtra,2.01
Wildlife,Medium,Puri,Beach,Medium,Odisha,2.91
Hill Station,Medium,Baga,Beach,High,Goa,1.41
Hill Station,Medium,Amritsar,Religious,Low,Punjab,2.0
Hill Station,High,CP,City Life,High,Delhi,2.91
Wildlife,Medium,Somnath,Religious,High,Gujarat,1.41
Wildlife,Medium,Kaziranga,Wildlife,Medium,Assam,5.0
Religious,Low,Shillong,Hill Station,Medium,Meghalaya,1.4
City Life,Medium,Varanasi,Religious,High,UP,1.4
Wildlife,Low,Varanasi,Religious,High,UP,1.41
Wildlife,Medium,Bandipur,Wildlife,High,Karnataka,3.51
Adventure,High,Rishikesh,Adventure,Low,Uttarakhand,4.1
Hill Station,Low,Yadadri,Religious,Medium,Telangana,1.41
Historical,High,Puri,Beach,Low,Odisha,2.0
Religious,High,Tawang,Adventure,Medium,Arunachal,2.0
Religious,Medium,Dandeli,Adventure,Medium,Karnataka,2.91
Hill Station,Medium,Varkala,Beach,Low,Kerala,2.0
Wildlife,Low,Nalanda,Historical,High,Bihar,1.41
Beach,Low,Gulmarg,Hill Station,Medium,Kashmir,1.41
Beach,Low,Puri,Beach,Low,Odisha,5.0
Adventure,Low,Gangtok,Hill Station,High,Sikkim,1.41
Religious,Medium,Leh,Adventure,High,Ladakh,1.41
City Life,Low,Red Fort,Historical,Low,Delhi,2.91
Hill Station,High,CP,City Life,High,Delhi,2.91
City Life,Medium,Dandeli,Adventure,Medium,Karnataka,2.9
Beach,Medium,Jim Corbett,Wildlife,High,Uttarakhand,1.41
Hill Station,Low,Somnath,Religious,High,Gujarat,1.4
Beach,Medium,Zulruk,Adventure,Medium,Sikkim,2.91
Adventure,High,Gangtok,Hill Station,High,Sikkim,2.91
Hill Station,Medium,Spiti,Adventure,Medium,Himachal,2.9
Wildlife,High,Kolkata,City Life,Low,West Bengal,2.01
Beach,High,Puri,Beach,Medium,Odisha,4.11
Adventure,Low,Mumbai,City Life,Medium,Maharashtra,1.41
Hill Station,Medium,Ajanta,Historical,Low,Maharashtra,2.01
Historical,Low,Hyderabad,City Life,Low,Telangana,2.91
Beach,High,Gir,Wildlife,High,Gujarat,2.91
Beach,High,Leh,Adventure,Medium,Ladakh,2.01
City Life,Medium,Varkala,Beach,Medium,Kerala,2.91
Adventure,Medium,Puri,Beach,High,Odisha,1.4
Religious,Low,Rishikesh,Adventure,High,Uttarakhand,1.4
City Life,High,Ajanta,Historical,Low,Maharashtra,2.01
Hill Station,Medium,Amritsar,Religious,Low,Punjab,2.0
Hill Station,High,Varanasi,Religious,Low,UP,2.01
Adventure,High,Nainital,Hill Station,Low,Uttarakhand,2.0
City Life,High,Kaziranga,Wildlife,High,Assam,2.9
Beach,High,CP,City Life,Low,Delhi,2.0
Beach,Medium,Hyderabad,City Life,High,Telangana,1.4
City Life,Low,Manali,Hill Station,High,Himachal,1.41
City Life,High,Baga,Beach,Low,Goa,2.01
Religious,Medium,Bodh Gaya,Religious,Medium,Bihar,5.0
City Life,Medium,Spiti,Adventure,High,Himachal,1.4
Wildlife,Medium,Tawang,Adventure,Medium,Arunachal,2.9
Historical,Medium,Ajanta,Historical,Low,Maharashtra,4.11
City Life,Medium,Bodh Gaya,Religious,Medium,Bihar,2.9
Beach,Low,Leh,Adventure,Low,Ladakh,2.91
Religious,Medium,Madurai,Religious,Low,Tamil Nadu,4.11
Beach,Medium,Zulruk,Adventure,High,Sikkim,1.4
Adventure,Low,Ahmedabad,City Life,High,Gujarat,1.41
Adventure,High,CP,City Life,High,Delhi,2.9
Hill Station,Low,Amritsar,Religious,High,Punjab,1.4
City Life,Medium,Jim Corbett,Wildlife,Low,Uttarakhand,2.01
Beach,High,Hyderabad,City Life,Medium,Telangana,2.01
Hill Station,Medium,Gir,Wildlife,Medium,Gujarat,2.9
Religious,Low,Gir,Wildlife,Medium,Gujarat,1.41
Wildlife,High,Radhanagar,Beach,High,Andaman,2.91
Hill Station,Low,Bodh Gaya,Religious,Low,Bihar,2.9
Beach,Low,Gir,Wildlife,High,Gujarat,1.4
Wildlife,High,Khajuraho,Historical,Medium,MP,2.0
Wildlife,Low,Spiti,Adventure,Medium,Himachal,1.41
Hill Station,Medium,Bodh Gaya,Religious,Medium,Bihar,2.9
Wildlife,Low,Jaipur,Historical,High,Rajasthan,1.41
Adventure,Low,Ahmedabad,City Life,Medium,Gujarat,1.41
City Life,Low,Kolkata,City Life,High,West Bengal,3.51
Historical,High,Somnath,Religious,Low,Gujarat,2.01
Religious,Medium,Varkala,Beach,Medium,Kerala,2.9
Religious,High,Bangalore,City Life,Low,Karnataka,2.01
Wildlife,Medium,Amritsar,Religious,Medium,Punjab,2.91
City Life,Low,Jaipur,Historical,Low,Rajasthan,2.9
Adventure,High,Radhanagar,Beach,High,Andaman,2.9
Hill Station,Low,Baga,Beach,Medium,Goa,1.4
Hill Station,Medium,Radhanagar,Beach,High,Andaman,1.4
Adventure,Low,Leh,Adventure,High,Ladakh,3.51
City Life,Low,CP,City Life,Low,Delhi,5.0
Religious,High,Nainital,Hill Station,Low,Uttarakhand,2.01
Hill Station,Medium,Manali,Hill Station,Low,Himachal,4.11
Historical,High,Marina,Beach,Medium,Tamil Nadu,2.01
City Life,High,Varkala,Beach,Low,Kerala,2.0
City Life,High,CP,City Life,High,Delhi,5.0
Religious,High,Ahmedabad,City Life,Low,Gujarat,2.0
Historical,High,Kaziranga,Wildlife,Low,Assam,2.0
Hill Station,Medium,Alibaug,Beach,Medium,Maharashtra,2.9
Religious,Medium,Amritsar,Religious,Medium,Punjab,5.0
Wildlife,High,Nalanda,Historical,High,Bihar,2.91
Beach,Medium,Amritsar,Religious,High,Punjab,1.4
City Life,Medium,Jim Corbett,Wildlife,High,Uttarakhand,1.41
Hill Station,High,Marina,Beach,High,Tamil Nadu,2.9
Beach,Medium,Nainital,Hill Station,Low,Uttarakhand,2.01
Wildlife,Medium,Kaziranga,Wildlife,High,Assam,3.5
Hill Station,Medium,Manali,Hill Station,Medium,Himachal,5.0
Hill Station,Medium,Leh,Adventure,Low,Ladakh,2.0
Beach,High,Radhanagar,Beach,High,Andaman,5.0
Historical,Medium,Madurai,Religious,Medium,Tamil Nadu,2.9
Adventure,Low,Dandeli,Adventure,High,Karnataka,3.5
Historical,Medium,Dandeli,Adventure,Low,Karnataka,2.0
Historical,High,Ranthambore,Wildlife,High,Rajasthan,2.9
Historical,Low,Kanha,Wildlife,Medium,MP,1.41
Historical,Low,Puri,Beach,Medium,Odisha,1.4
Wildlife,High,Nalanda,Historical,Low,Bihar,2.0
Historical,Low,Alibaug,Beach,Low,Maharashtra,2.91
City Life,Low,Alibaug,Beach,Low,Maharashtra,2.91
Hill Station,High,Puri,Beach,Low,Odisha,2.0
Religious,High,Bandipur,Wildlife,High,Karnataka,2.9
Religious,Low,Amritsar,Religious,Medium,Punjab,3.51
Historical,High,Varkala,Beach,High,Kerala,2.91
Hill Station,Medium,Kaziranga,Wildlife,High,Assam,1.41
Wildlife,Low,Mumbai,City Life,Low,Maharashtra,2.9
Adventure,Low,Jaipur,Historical,Low,Rajasthan,2.91
Wildlife,High,Yadadri,Religious,Low,Telangana,2.0
Hill Station,Low,Gir,Wildlife,Medium,Gujarat,1.41
City Life,Medium,CP,City Life,High,Delhi,3.5
Wildlife,High,Ooty,Hill Station,Low,Tamil Nadu,2.0
Beach,High,Spiti,Adventure,Low,Himachal,2.01
Adventure,High,Hyderabad,City Life,Low,Telangana,2.0
Religious,Medium,Ooty,Hill Station,Medium,Tamil Nadu,2.9
Religious,Medium,Marina,Beach,Medium,Tamil Nadu,2.91
Beach,High,Red Fort,Historical,Medium,Delhi,2.01
Wildlife,High,Khajuraho,Historical,Low,MP,2.0
Wildlife,Medium,Puri,Beach,Medium,Odisha,2.91
Religious,Medium,Marina,Beach,Low,Tamil Nadu,2.0
Wildlife,Medium,Amritsar,Religious,Medium,Punjab,2.91
Wildlife,High,Gulmarg,Hill Station,Low,Kashmir,2.01
Adventure,Low,Khajuraho,Historical,Low,MP,2.91
Religious,High,Spiti,Adventure,Medium,Himachal,2.0
Religious,Low,Marina,Beach,High,Tamil Nadu,1.41
Adventure,Medium,Ajanta,Historical,Medium,Maharashtra,2.9
City Life,Low,CP,City Life,Medium,Delhi,3.51
Historical,High,Zulruk,Adventure,High,Sikkim,2.9
Religious,Low,Leh,Adventure,Low,Ladakh,2.91
Wildlife,High,Madurai,Religious,High,Tamil Nadu,2.91
Beach,Medium,Ajanta,Historical,Medium,Maharashtra,2.91
Wildlife,Medium,Gir,Wildlife,Medium,Gujarat,5.0
Religious,Low,Baga,Beach,Medium,Goa,1.4
Adventure,High,Varkala,Beach,High,Kerala,2.91
City Life,Medium,Bodh Gaya,Religious,Low,Bihar,2.0
Historical,Low,Khajuraho,Historical,High,MP,3.5
Wildlife,Low,Ahmedabad,City Life,Medium,Gujarat,1.41
Religious,Medium,Ooty,Hill Station,Medium,Tamil Nadu,2.91
City Life,Medium,Bandipur,Wildlife,Medium,Karnataka,2.9
Historical,Low,Gangtok,Hill Station,High,Sikkim,1.4
Wildlife,High,Dandeli,Adventure,Low,Karnataka,2.0
Adventure,High,Jaipur,Historical,Low,Rajasthan,2.01
Hill Station,Low,Gulmarg,Hill Station,Medium,Kashmir,3.5
City Life,Medium,Rishikesh,Adventure,Medium,Uttarakhand,2.91
Hill Station,High,Leh,Adventure,High,Ladakh,2.91
City Life,Medium,Varanasi,Religious,Low,UP,2.01
Religious,Low,Zulruk,Adventure,Medium,Sikkim,1.4
Hill Station,Medium,Gulmarg,Hill Station,High,Kashmir,3.51
Hill Station,High,Spiti,Adventure,Medium,Himachal,2.0
Hill Station,Medium,Bandipur,Wildlife,High,Karnataka,1.41
Wildlife,High,Puri,Beach,High,Odisha,2.9
Religious,Medium,Shillong,Hill Station,High,Meghalaya,1.41
Religious,Medium,Ooty,Hill Station,Medium,Tamil Nadu,2.91
Historical,Low,Shillong,Hill Station,High,Meghalaya,1.4
Religious,High,Leh,Adventure,Low,Ladakh,2.0
Wildlife,Low,Tawang,Adventure,Low,Arunachal,2.9
Beach,Low,Kolkata,City Life,High,West Bengal,1.41
City Life,Medium,Tawang,Adventure,Low,Arunachal,2.0
Hill Station,High,Kolkata,City Life,High,West Bengal,2.9
City Life,High,Gir,Wildlife,Medium,Gujarat,2.0
Religious,Medium,Ajanta,Historical,Medium,Maharashtra,2.9
City Life,Medium,Ajanta,Historical,Low,Maharashtra,2.01
Hill Station,Low,Bangalore,City Life,High,Karnataka,1.4
Religious,Low,Madurai,Religious,Low,Tamil Nadu,5.0
Religious,Low,Mumbai,City Life,Low,Maharashtra,2.91
Adventure,High,Varkala,Beach,Low,Kerala,2.0
Religious,Medium,Hampi,Historical,Medium,Karnataka,2.91
Religious,High,Gir,Wildlife,Medium,Gujarat,2.01
City Life,Low,Marina,Beach,High,Tamil Nadu,1.41
Religious,Low,Puri,Beach,High,Odisha,1.4
Beach,Medium,Nalanda,Historical,Low,Bihar,2.01
City Life,Medium,Shillong,Hill Station,Low,Meghalaya,2.01
Historical,Medium,Baga,Beach,Medium,Goa,2.91
City Life,Low,Bangalore,City Life,Medium,Karnataka,3.5
Historical,High,Kanha,Wildlife,High,MP,2.91
Historical,High,Nainital,Hill Station,Medium,Uttarakhand,2.0
Religious,Medium,Madurai,Religious,Low,Tamil Nadu,4.11
Historical,High,CP,City Life,High,Delhi,2.9
Wildlife,Low,Ajanta,Historical,Low,Maharashtra,2.91
Hill Station,High,Varanasi,Religious,Low,UP,2.01
Religious,Low,Bandipur,Wildlife,High,Karnataka,1.4
Adventure,Medium,Ajanta,Historical,High,Maharashtra,1.41
Wildlife,Medium,Mumbai,City Life,High,Maharashtra,1.41
City Life,Low,Tawang,Adventure,High,Arunachal,1.4
Hill Station,Low,Leh,Adventure,Low,Ladakh,2.9
Historical,Low,Bodh Gaya,Religious,Low,Bihar,2.91
Historical,Low,Bodh Gaya,Religious,High,Bihar,1.4
Historical,High,Khajuraho,Historical,Medium,MP,4.11
Beach,Low,Amritsar,Religious,Medium,Punjab,1.41
Wildlife,Medium,Tawang,Adventure,Medium,Arunachal,2.91
Wildlife,High,Bodh Gaya,Religious,Medium,Bihar,2.0
Hill Station,Medium,Bangalore,City Life,Medium,Karnataka,2.91
Beach,Medium,Jim Corbett,Wildlife,High,Uttarakhand,1.41
Hill Station,Low,Madurai,Religious,Medium,Tamil Nadu,1.41
Beach,Low,Madurai,Religious,High,Tamil Nadu,1.4
City Life,Low,Zulruk,Adventure,Medium,Sikkim,1.41
Beach,High,Ahmedabad,City Life,High,Gujarat,2.91
Wildlife,Medium,Kaziranga,Wildlife,Low,Assam,4.1
City Life,Medium,Mumbai,City Life,High,Maharashtra,3.51
Hill Station,Medium,Nainital,Hill Station,Low,Uttarakhand,4.11
Wildlife,Low,Puri,Beach,High,Odisha,1.4
Religious,Low,Ahmedabad,City Life,Medium,Gujarat,1.41
Adventure,High,Kanha,Wildlife,Medium,MP,2.01
Hill Station,Medium,Ranthambore,Wildlife,High,Rajasthan,1.4
Historical,Low,Yadadri,Religious,High,Telangana,1.41
Adventure,Low,Nainital,Hill Station,Low,Uttarakhand,2.91
Beach,Medium,Shillong,Hill Station,Low,Meghalaya,2.01
Adventure,Low,Hampi,Historical,Medium,Karnataka,1.4
Religious,Medium,Gulmarg,Hill Station,High,Kashmir,1.4
Beach,Low,Jaipur,Historical,Medium,Rajasthan,1.4
Beach,Low,Nainital,Hill Station,Medium,Uttarakhand,1.4
Religious,High,Kanha,Wildlife,Low,MP,2.01
Wildlife,Low,Bangalore,City Life,High,Karnataka,1.41
City Life,Low,Zulruk,Adventure,High,Sikkim,1.4
Historical,High,Spiti,Adventure,Medium,Himachal,2.01
Wildlife,High,Jim Corbett,Wildlife,Low,Uttarakhand,4.1
Adventure,High,Nalanda,Historical,Medium,Bihar,2.0
Historical,High,Bandipur,Wildlife,Medium,Karnataka,2.01
Adventure,High,Alibaug,Beach,Low,Maharashtra,2.01
City Life,High,Jim Corbett,Wildlife,Low,Uttarakhand,2.0
Adventure,Low,Ajanta,Historical,High,Maharashtra,1.41
Adventure,High,Ahmedabad,City Life,High,Gujarat,2.91
Religious,High,Ajanta,Historical,Low,Maharashtra,2.01
Wildlife,High,Hyderabad,City Life,Medium,Telangana,2.01
City Life,High,Kolkata,City Life,Low,West Bengal,4.1
Adventure,High,Madurai,Religious,High,Tamil Nadu,2.91
Wildlife,Medium,Spiti,Adventure,Medium,Himachal,2.91
Hill Station,Medium,CP,City Life,Medium,Delhi,2.9
Religious,Medium,Spiti,Adventure,Low,Himachal,2.0
Historical,High,Gulmarg,Hill Station,High,Kashmir,2.9
Beach,High,Puri,Beach,Low,Odisha,4.1
Wildlife,Medium,Gangtok,Hill Station,Medium,Sikkim,2.9
Hill Station,Low,Yadadri,Religious,Low,Telangana,2.91
City Life,Low,Gangtok,Hill Station,Low,Sikkim,2.91
Beach,High,Hyderabad,City Life,High,Telangana,2.91
Hill Station,Low,Gulmarg,Hill Station,Low,Kashmir,5.0
Hill Station,Medium,Tawang,Adventure,High,Arunachal,1.41
Wildlife,Medium,Gir,Wildlife,Low,Gujarat,4.1
Historical,Low,Baga,Beach,Medium,Goa,1.4
Hill Station,High,Gangtok,Hill Station,High,Sikkim,5.0
Hill Station,Medium,Madurai,Religious,High,Tamil Nadu,1.41
Adventure,Medium,Alibaug,Beach,Low,Maharashtra,2.01
Beach,Medium,Radhanagar,Beach,High,Andaman,3.51
Religious,High,Kolkata,City Life,High,West Bengal,2.91
Wildlife,Medium,Bangalore,City Life,Medium,Karnataka,2.9
Adventure,Medium,Tawang,Adventure,High,Arunachal,3.5
Wildlife,Low,Red Fort,Historical,Medium,Delhi,1.4
Wildlife,Medium,Gulmarg,Hill Station,Medium,Kashmir,2.9
Religious,Low,Bandipur,Wildlife,High,Karnataka,1.4
Religious,Medium,Amritsar,Religious,Medium,Punjab,5.0
Hill Station,Medium,Gir,Wildlife,Medium,Gujarat,2.9
Historical,Low,Yadadri,Religious,High,Telangana,1.41
Hill Station,High,Hampi,Historical,Medium,Karnataka,2.01
Historical,Medium,Ranthambore,Wildlife,High,Rajasthan,1.41
Adventure,High,Bodh Gaya,Religious,Low,Bihar,2.01
City Life,Medium,Puri,Beach,High,Odisha,1.41
Historical,Medium,Ajanta,Historical,Low,Maharashtra,4.11
Religious,Medium,Kanha,Wildlife,Medium,MP,2.9
Beach,Low,Alibaug,Beach,High,Maharashtra,3.51
Adventure,High,Ooty,Hill Station,Low,Tamil Nadu,2.0
Historical,Medium,Puri,Beach,High,Odisha,1.41
Hill Station,Low,Mumbai,City Life,Low,Maharashtra,2.91
Religious,Low,Ajanta,Historical,Low,Maharashtra,2.91
Hill Station,Low,Baga,Beach,Medium,Goa,1.41
City Life,Medium,Yadadri,Religious,Low,Telangana,2.0
Wildlife,High,Jaipur,Historical,High,Rajasthan,2.9
Wildlife,High,Red Fort,Historical,High,Delhi,2.9
Hill Station,Low,Manali,Hill Station,Low,Himachal,5.0
Wildlife,Medium,Amritsar,Religious,Low,Punjab,2.01
Religious,High,Varanasi,Religious,Low,UP,4.1
City Life,Low,Nalanda,Historical,High,Bihar,1.41
Wildlife,High,Ooty,Hill Station,High,Tamil Nadu,2.9
Beach,High,Bodh Gaya,Religious,Medium,Bihar,2.0
Historical,Low,CP,City Life,Medium,Delhi,1.41
Beach,High,Somnath,Religious,High,Gujarat,2.91
